J-S distance,KS test,Survival curves distance,Detection XGB,NNDR,K-map score,generator
0.005597922552192024,0.955412005671971,0.017348218002481996,0.9179014405840557,0.13300565239959036,5.0,HI-VAE_weibull
0.006198786143933186,0.951473136915078,0.023789637578551855,0.9035869891141385,0.09184657486894858,3.0,HI-VAE_weibull
0.00606940039800933,0.9530486844178352,0.019695592886893907,0.9038507268105078,0.09175340839026275,1.0,HI-VAE_weibull
0.0054460346889197014,0.9560422246730739,0.00977362805486419,0.9173353757903658,0.09190561575311497,2.0,HI-VAE_weibull
0.005262755125805424,0.9568299984244526,0.01007806214652816,0.9172937878886644,0.11289840134686256,2.0,HI-VAE_weibull
0.005534217639148554,0.9607688671813456,0.006583345563535236,0.9150380027377615,0.1333260144012384,6.0,HI-VAE_weibull
0.006741794985612204,0.9522609106664567,0.027639011497506402,0.898749103709015,0.08383425087021018,3.0,HI-VAE_weibull
0.005539461248770464,0.954309122420041,0.008137462037209615,0.922101427547096,0.14190654277968293,5.0,HI-VAE_weibull
0.0053584937224380605,0.9577753269261069,0.008158896168124118,0.9216890685092235,0.0913699902256227,4.0,HI-VAE_weibull
0.005728049367584054,0.9538364581692137,0.008397536001868777,0.926405058340395,0.10607589651933871,4.0,HI-VAE_weibull
0.006174412013671504,0.9522609106664567,0.010987623895748788,0.9261719574995111,0.11181397371211008,1.0,HI-VAE_weibull
0.006249053086672728,0.9549393414211438,0.005384641798229971,0.9132802294504921,0.11358597847717346,6.0,HI-VAE_weibull
0.0053017720585440305,0.9541515676697653,0.006231099201666561,0.9241972492014863,0.13187952073399642,3.0,HI-VAE_weibull
0.005660612143892236,0.9566724436741768,0.022412140632205615,0.9259672772309496,0.1065266668517853,2.0,HI-VAE_weibull
0.006035935247383392,0.9565148889239011,0.006945144170085251,0.9213258588097256,0.10632744197615153,3.0,HI-VAE_weibull
0.004800932903780779,0.954781786670868,0.0064449060186420595,0.9202387067335897,0.11349282727010615,2.0,HI-VAE_weibull
